# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 1, 'omega_out': 1086.9910581420684, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wOut,wIn
-9.797979797979798,4.747474747474747,1.2599781435669855e-10,4.216774657578058e-46
-9.797979797979798,4.94949494949495,1.4346002687832506e-11,6.249336408527293e-47
-9.797979797979798,5.1515151515151505,2.683378023693864e-13,8.546025325211598e-48
-9.797979797979798,5.353535353535353,-3.0840216835637075e-13,1.0782980487359999e-48
-9.797979797979798,5.555555555555555,-5.9232879680449e-14,1.2552380690297742e-49
-9.797979797979798,5.757575757575758,1.3034650664968505e-15,1.3480159314124124e-50
-9.797979797979798,5.9595959595959584,6.009414388948419e-16,1.3354123571040288e-51
-9.797979797979798,6.161616161616163,-2.3192202284553368e-15,1.2202754132259845e-52
-9.797979797979798,6.363636363636363,-2.0250377172008587e-15,1.0284756242721512e-53
-9.797979797979798,6.565656565656564,-1.0441154582947992e-15,7.99459239966048e-55
-9.797979797979798,6.767676767676768,-4.1407934305507905e-16,5.731104287816493e-56
-9.797979797979798,6.969696969696969,-1.3788837764270977e-16,3.7887367362219726e-57
-9.797979797979798,7.171717171717173,-4.01898471010002e-17,2.309617991603585e-58
-9.797979797979798,7.373737373737374,-1.0495116806889262e-17,1.2982309850048675e-59
-9.797979797979798,7.575757575757574,-2.491518265492692e-18,6.728331350935366e-61
-9.797979797979798,7.777777777777779,-5.429760212281771e-19,3.2150286943666637e-62
-9.797979797979798,7.979797979797979,-1.0937593925014482e-19,1.4163282179425088e-63
-9.797979797979798,8.18181818181818,-2.0468042377538262e-20,5.7520811479436685e-65
-9.797979797979798,8.383838383838384,-3.5719068033341704e-21,2.1535232957266036e-66
-9.797979797979798,8.585858585858585,-5.830129270982994e-22,7.432244519232508e-68
-9.797979797979798,8.787878787878789,-8.921313317683685e-23,2.364392318140971e-69
-9.797979797979798,8.98989898989899,-1.282251956060241e-23,6.933178895699914e-71
-9.797979797979798,9.19191919191919,-1.7337429397965385e-24,1.8738880261801767e-72
-9.797979797979798,9.393939393939394,-2.2081123001138223e-25,4.668088837638009e-74
-9.797979797979798,9.595959595959595,-2.6518655461632e-26,1.0717796984982617e-75
-9.797979797979798,9.7979797979798,-3.0058917725212707e-27,2.2679336627785696e-77
-9.797979797979798,10.0,-3.2183034085544944e-28,4.4228457350417405e-79
-9.595959595959595,-10.0,-5.290442754482449e-28,2.092856767437348e-77
-9.595959595959595,-9.797979797979798,-4.9612321158385405e-27,1.0717796984982617e-75
-9.595959595959595,-9.595959595959595,-4.396511546189097e-26,5.058316649334463e-74
-9.595959595959595,-9.393939393939394,-3.6790769835837414e-25,2.2001522562007202e-72
-9.595959595959595,-9.191919191919192,-2.9048403169935408e-24,8.819790078520539e-71
-9.595959595959595,-8.98989898989899,-2.16190877109422e-23,3.258636480375235e-69
-9.595959595959595,-8.787878787878787,-1.5149073597329042e-22,1.1096855962386126e-67
-9.595959595959595,-8.585858585858587,-9.980970768652759e-22,3.4830959919916637e-66
-9.595959595959595,-8.383838383838384,-6.1727200030871454e-21,1.007739787125823e-64
-9.595959595959595,-8.181818181818182,-3.576124955299049e-20,2.687607137525497e-63
-9.595959595959595,-7.979797979797979,-1.9358762878820073e-19,6.607474705214657e-62
-9.595959595959595,-7.777777777777778,-9.760425457405603e-19,1.49753334969521e-60
-9.595959595959595,-7.575757575757576,-4.5641807741074596e-18,3.129022751035942e-59
-9.595959595959595,-7.373737373737374,-1.9684480582365597e-17,6.027721358283344e-58
-9.595959595959595,-7.171717171717171,-7.769361898691226e-17,1.0706115348796246e-56
-9.595959595959595,-6.96969696969697,-2.7751537016824807e-16,1.753348028027548e-55
-9.595959595959595,-6.767676767676768,-8.818529557247813e-16,2.6478053396973006e-54
-9.595959595959595,-6.565656565656566,-2.423167728891834e-15,3.6873218163802476e-53
-9.595959595959595,-6.363636363636363,-5.458861226555477e-15,4.735540400474985e-52
-9.595959595959595,-6.161616161616162,-8.902764715420468e-15,5.609047279455387e-51
-9.595959595959595,-5.959595959595959,-6.38280420882463e-15,6.127711596813022e-50
-9.595959595959595,-5.757575757575758,8.71624108718825e-15,6.174856241947434e-49
-9.595959595959595,-5.555555555555555,-2.448441620175466e-14,5.739913827161706e-48
-9.595959595959595,-5.353535353535354,-4.388390462739967e-13,4.922270952604516e-47
-9.595959595959595,-5.151515151515151,-1.4213695741911104e-12,3.8943934760350264e-46
-9.595959595959595,-4.94949494949495,5.4679269511347266e-12,2.842900756635123e-45
-9.595959595959595,-4.747474747474747,9.576470120119762e-11,1.9149845604702868e-44
