# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'f_out': 173, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
x,p,wIn1,wIn2,wIn3,wOut,wOutP,wOutS
-6.0,-1.7575757575757578,6.256656426959901e-117,3.257417853737092e-54,1.6967447254639352e-34,3.264800112095339e-08,9.117863737171622e-11,2.4533688373980718e-92
-6.0,-1.6363636363636367,6.614875962410122e-117,3.681183132269078e-54,2.066433187532471e-34,3.5302812030614174e-08,9.989572186221148e-11,2.646015805582186e-92
-6.0,-1.5151515151515147,6.96584815145751e-117,4.1238942561198314e-54,2.4814846641401355e-34,3.796092713432968e-08,1.0873472683243759e-10,2.838422578806496e-92
-6.0,-1.3939393939393936,7.306328610715442e-117,4.579665565279883e-54,2.938239481451588e-34,4.0591876469970305e-08,1.1758643736060407e-10,3.028424151288139e-92
-6.0,-1.2727272727272725,7.63303580464919e-117,5.0415740961706236e-54,3.43042676199522e-34,4.3163460187394176e-08,1.2633211969352793e-10,3.2137447368739107e-92
-6.0,-1.1515151515151514,7.942702536847383e-117,5.501798629724321e-54,3.949066804662297e-34,4.56423696230294e-08,1.3484595402395157e-10,3.392040939013e-92
-6.0,-1.0303030303030303,8.2321295560738e-117,5.95181431460227e-54,4.4825606718300515e-34,4.7994881278101774e-08,1.4299789471827586e-10,3.56094955365322e-92
-6.0,-0.9090909090909092,8.49824006968208e-117,6.382637840935286e-54,5.016990047821932e-34,5.018760447136869e-08,1.5065687447199905e-10,3.718138701613867e-92
-6.0,-0.7878787878787881,8.738133879934383e-117,6.785114458316957e-54,5.53663214273597e-34,5.2188260134280875e-08,1.5769424685567922e-10,3.8613607826038075e-92
-6.0,-0.6666666666666661,8.949139820071834e-117,7.150234743931816e-54,6.024672822197406e-34,5.3966465751568087e-08,1.6398734385980238e-10,3.9885055937800855e-92
-6.0,-0.545454545454545,9.128865169510888e-117,7.469466231758118e-54,6.464078640853751e-34,5.549449999489148e-08,1.6942301268689507e-10,4.0976518718442946e-92
-6.0,-0.42424242424242387,9.275240772580588e-117,7.735083082063236e-54,6.8385678919237385e-34,5.67480202745298e-08,1.739009902234709e-10,4.18711550634977e-92
-6.0,-0.30303030303030276,9.386560672442876e-117,7.940476114744695e-54,7.133605057012397e-34,5.770670730872329e-08,1.7733697502562825e-10,4.25549273668431e-92
-6.0,-0.18181818181818166,9.461515199229879e-117,8.080425881171129e-54,7.337334648504409e-34,5.835481288198849e-08,1.7966526549807014e-10,4.3016967856278285e-92
-6.0,-0.06060606060606055,9.499216615261804e-117,8.1513230381506e-54,7.441371046346127e-34,5.868159016481655e-08,1.8084084898439985e-10,4.32498659387584e-92
-6.0,0.06060606060606055,9.499216615261804e-117,8.1513230381506e-54,7.441371046346127e-34,5.868159016481655e-08,1.8084084898439985e-10,4.32498659387584e-92
-6.0,0.18181818181818166,9.461515199229879e-117,8.080425881171129e-54,7.337334648504409e-34,5.835481288198849e-08,1.7966526549807014e-10,4.3016967856278285e-92
-6.0,0.30303030303030276,9.386560672442876e-117,7.940476114744695e-54,7.133605057012397e-34,5.770670730872329e-08,1.7733697502562825e-10,4.25549273668431e-92
-6.0,0.42424242424242475,9.275240772580588e-117,7.735083082063236e-54,6.8385678919237385e-34,5.6748020274529704e-08,1.739009902234709e-10,4.18711550634977e-92
