# {'k0': 0.5, 'sigma0': 188.49555921538757, 'N': 3, 'sigma_out': 125.66370614359172, 'omegap': 1256.6370614359173, 'sigmap': 628.3185307179587}
alpha,fOut,scalex,scalep,thermx,thermp
4356565.656565657,170,-232.44123009358137,75.19812504718229,1.7597192129895265,1.7223546121949769
4406060.606060606,170,-247.32716021495216,80.01394018709932,1.7597178892269187,1.7223533202571906
4455555.555555556,170,-263.16634607222034,85.13814744767475,1.759716720010125,1.7223521791498737
4505050.5050505055,170,-280.0198355291031,90.59049670174431,1.7597156872964366,1.7223511712640471
4554545.454545455,170,-297.9525858085787,96.39200255682631,1.7597147751495505,1.722350281046504
4604040.404040405,170,-317.03371385295816,102.56502535025076,1.7597139694936552,1.7223494947598104
4653535.353535354,170,-337.3367627164681,109.13335733103891,1.759713257896233,1.7223488002703249
4703030.303030304,170,-358.9399850170932,116.12231436070225,1.759712629376215,1.7223481868609647
4752525.252525253,170,-381.926644540153,123.55883348639189,1.7597120742345322,1.7223476450658324
4802020.202020203,170,-406.385337156075,131.47157676247133,1.7597115839044521,1.7223471665241417
4851515.151515152,170,-432.4103322892463,139.89104172066388,1.7597111508193775,1.7223467438512032
4901010.101010101,170,-460.10193625404554,148.8496789145498,1.7597107682960895,1.7223463705244697
4950505.05050505,170,-489.5668788584454,158.3820169914625,1.7597104304316153,1.722346040782881
5000000.0,170,-520.9187247652227,168.52479577383158,1.7597101320121413,1.7223457495379697
100000.0,171,-0.24882375015746594,0.07733406608296736,2.0231906746004205,2.0043024770343942
149494.94949494948,171,-0.3732343911607003,0.11586971619331425,2.0140123737345856,1.9944335995481062
198989.898989899,171,-0.49902693411172444,0.15483541242368146,2.0018540941683143,1.9816648865463073
248484.8484848485,171,-0.6266698354299023,0.1943756416129773,1.9873968461267453,1.9666776278579166
297979.797979798,171,-0.7566372621376491,0.23463707869514203,1.9713532482971328,1.9501813087495805
347474.7474747475,171,-0.8894116732414947,0.27576909081971307,1.954399679893399,1.9328466638266353
396969.696969697,171,-1.0254858172624108,0.31792428135254486,1.9371292018940287,1.9152595425522456
446464.6464646465,171,-1.16536462992539,0.36125905264586405,1.92002666366512,1.897896859264026
495959.595959596,171,-1.309567135434434,0.4059341849519653,1.9034625662691682,1.8811211207607594
545454.5454545454,171,-1.4586283848354704,0.45211543232918044,1.8877000778515014,1.865187906075914
594949.494949495,171,-1.6131014475071854,0.4999741373151137,1.872909544483675,1.85026065958552
644444.4444444445,171,-1.7735594665790684,0.5496878664793117,1.8591859612449189,1.8364282989801888
693939.393939394,171,-1.9405977873659668,0.6014410691410487,1.8465663418710818,1.823722617504437
743434.3434343435,171,-2.1148361673992073,0.6554257616624052,1.8350452551927736,1.8121337855395274
792929.292929293,171,-2.29692107659546,0.7118422398385857,1.8245877833024338,1.8016232355190627
842424.2424242424,171,-2.487528096278154,0.7708998220196626,1.8151397868286807,1.7921338363565942
891919.191919192,171,-2.6873644260526124,0.8328176257159179,1.8066357078400896,1.7835976015865178
941414.1414141415,171,-2.8971715078939453,0.8978253805652997,1.7990042905084667,1.7759413195558285
990909.0909090909,171,-3.1177277772184078,0.9661642806775637,1.7921726312086084,1.7690905216850004
1040404.0404040405,171,-3.349851551166757,1.0380878795164372,1.7860689391489242,1.762972171688749
1089898.98989899,171,-3.594404064829456,1.1138630306393484,1.7806243316542614,1.7575164001146393
